BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
SAMSUNG,BLACK,3_GB,32_GB,4.0,37299,37299,0,0.0
OPPO,BLUE,4_GB,128_GB,4.4,15990,20990,5000,23.820867079561697
REALME,WHITE,8_GB,128_GB,4.5,16999,16999,0,0.0
APPLE,RED,4_GB,128_GB,4.6,68999,70900,1901,2.681241184767278
OPPO,GREEN,6_GB,256_GB,4.4,19990,19990,0,0.0
REALME,RED,12_GB,256_GB,4.3,47999,47999,0,0.0
OPPO,SILVER,8_GB,256_GB,4.3,23490,25990,2500,9.619084263178143
OPPO,SILVER,4_GB,64_GB,4.4,22990,22990,0,0.0
GIONEE,BLACK,2_GB,32_GB,3.9,6499,6499,0,0.0
LG,GREY,3_GB,16_GB,4.1,14250,14250,0,0.0
XIAOMI,WHITE,8_GB,128_GB,4.5,26758,26758,0,0.0
APPLE,GOLD,4_GB,256_GB,4.7,131900,131900,0,0.0
OPPO,BLACK,8_GB,256_GB,4.4,26798,28989,2191,7.558039256269619
LG,BLACK,1_GB,8_GB,3.7,12500,12500,0,0.0
OPPO,GOLD,4_GB,64_GB,4.3,12990,12990,0,0.0
VIVO,BLACK,4_GB,128_GB,4.3,10990,10990,0,0.0
LG,SILVER,6_GB,128_GB,4.4,55000,55000,0,0.0
LG,BLACK,1_GB,4_GB,4.0,12791,12791,0,0.0
OPPO,GOLD,2_GB,16_GB,4.2,9990,9990,0,0.0
SAMSUNG,BLACK,3_GB,32_GB,4.3,14995,14995,0,0.0
OPPO,GOLD,4_GB,64_GB,4.4,10990,18990,8000,42.1274354923644
OPPO,BLUE,3_GB,32_GB,4.3,10990,12990,2000,15.396458814472672
REALME,BLACK,4_GB,128_GB,4.3,16499,16999,500,2.941349491146538
REALME,GREEN,4_GB,128_GB,4.5,12999,14999,2000,13.334222281485433
GIONEE,GOLD,4_GB,64_GB,4.1,10499,10499,0,0.0
INFINIX,BLUE,4_GB,64_GB,4.3,14999,14999,0,0.0
NOKIA,BLACK,LESS_THAN_1GB,4_GB,4.0,10999,10999,0,0.0
SAMSUNG,BLACK,3_GB,32_GB,4.2,9499,10499,1000,9.52471663967997
POCO,BLUE,6_GB,64_GB,4.3,11999,12999,1000,7.692899453804139
IQOO,SILVER,8_GB,256_GB,4.4,37990,40990,3000,7.318858258111735
SAMSUNG,WHITE,2_GB,16_GB,4.1,17990,17990,0,0.0
MOTOROLA,GOLD,4_GB,64_GB,3.9,12999,12999,0,0.0
LG,BLACK,4_GB,64_GB,3.9,19990,19990,0,0.0
GIONEE,BLACK,1_GB,16_GB,3.7,3990,3990,0,0.0
SAMSUNG,GOLD,3_GB,32_GB,4.3,13900,13900,0,0.0
APPLE,SILVER,2_GB,32_GB,4.5,25299,29900,4601,15.387959866220736
SAMSUNG,BLACK,1_GB,8_GB,3.3,4999,4999,0,0.0
