BRANDS,COLORS,MEMORY,STORAGE,RATING,SELLING_PRICE,ORIGINAL_PRICE,DISCOUNT,DISCOUNT_PERCENTAGE
OPPO,BLACK,4_GB,128_GB,4.4,12990,16990,4000,23.543260741612716
REALME,SILVER,6_GB,64_GB,4.3,16999,18999,2000,10.526869835254487
INFINIX,BLACK,4_GB,64_GB,4.3,10999,10999,0,0.0
MOTOROLA,WHITE,4_GB,128_GB,4.2,10999,16999,6000,35.296193893758456
XIAOMI,BLACK,6_GB,128_GB,4.3,25990,25990,0,0.0
ASUS,WHITE,8_GB,128_GB,4.3,49999,55999,6000,10.714477044232932
MOTOROLA,BLACK,4_GB,64_GB,4.3,18999,18999,0,0.0
REALME,BLACK,6_GB,128_GB,4.3,10999,14990,3991,26.62441627751835
ASUS,BLACK,12_GB,512_GB,4.6,62999,62999,0,0.0
APPLE,BLACK,6_GB,256_GB,4.6,119900,119900,0,0.0
GIONEE,BLACK,LESS_THAN_1GB,4_GB,3.6,2450,2450,0,0.0
LENOVO,GOLD,3_GB,32_GB,4.1,10999,10999,0,0.0
APPLE,GREY,4_GB,512_GB,4.7,134900,134900,0,0.0
NOKIA,BLUE,4_GB,64_GB,4.3,28831,28831,0,0.0
OPPO,WHITE,4_GB,128_GB,4.4,14990,17990,3000,16.67593107281823
SAMSUNG,WHITE,6_GB,128_GB,4.1,21999,24999,3000,12.000480019200769
INFINIX,GREEN,4_GB,64_GB,4.3,9299,10999,1700,15.455950540958268
XIAOMI,WHITE,6_GB,128_GB,4.3,24338,25989,1651,6.3526876755550425
XIAOMI,WHITE,8_GB,256_GB,4.4,38999,38999,0,0.0
SAMSUNG,BLUE,4_GB,64_GB,4.2,14999,17999,3000,16.667592644035782
APPLE,GREY,3_GB,64_GB,4.6,49900,49900,0,0.0
SAMSUNG,BLACK,4_GB,64_GB,4.3,11990,12250,260,2.122448979591837
REALME,MULTICOLOR,8_GB,128_GB,4.5,22999,26999,4000,14.815363531982667
SAMSUNG,PINK,8_GB,128_GB,4.3,74000,74000,0,0.0
OPPO,GOLD,6_GB,128_GB,4.3,16990,17990,1000,5.558643690939411
SAMSUNG,BLUE,3_GB,32_GB,4.2,9539,10389,850,8.181730676677255
REALME,BLUE,4_GB,64_GB,4.4,10999,10999,0,0.0
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.1,3429,3445,16,0.4644412191582002
APPLE,SILVER,4_GB,256_GB,4.6,78999,124900,45901,36.7502001601281
OPPO,GOLD,3_GB,16_GB,4.4,10990,10990,0,0.0
SAMSUNG,WHITE,LESS_THAN_1GB,4_GB,4.0,5999,5999,0,0.0
LG,BLACK,3_GB,32_GB,3.7,7299,7299,0,0.0
LG,BLACK,LESS_THAN_1GB,4_GB,4.5,10199,10199,0,0.0
APPLE,GREY,4_GB,256_GB,4.6,79999,106600,26601,24.954033771106943
ASUS,GREY,4_GB,64_GB,4.3,17999,17999,0,0.0
NOKIA,GOLD,3_GB,32_GB,4.2,17979,17979,0,0.0
REALME,BLUE,4_GB,64_GB,4.4,10499,10999,500,4.545867806164196
GIONEE,BLUE,4_GB,64_GB,4.1,7999,7999,0,0.0
APPLE,GREY,2_GB,32_GB,4.5,25299,29900,4601,15.387959866220736
APPLE,BLACK,4_GB,128_GB,4.6,54900,54900,0,0.0
APPLE,BLUE,3_GB,64_GB,4.6,42999,47900,4901,10.231732776617951
NOKIA,GREY,4_GB,64_GB,4.1,12998,12998,0,0.0
ASUS,WHITE,2_GB,16_GB,3.9,15999,15999,0,0.0
POCO,BLUE,8_GB,256_GB,4.5,30999,30999,0,0.0
REALME,BLUE,4_GB,64_GB,4.2,8799,9999,1200,12.001200120012
INFINIX,BLACK,2_GB,32_GB,4.4,8999,8999,0,0.0
APPLE,GOLD,6_GB,512_GB,4.6,139900,139900,0,0.0
OPPO,RED,6_GB,64_GB,4.4,24990,24990,0,0.0
REALME,BLUE,4_GB,64_GB,4.3,13499,14999,1500,10.000666711114077
OPPO,BLACK,12_GB,256_GB,4.4,39990,46990,7000,14.896786550329857
APPLE,BLACK,6_GB,128_GB,4.6,109900,109900,0,0.0
SAMSUNG,WHITE,8_GB,256_GB,4.3,73999,87999,14000,15.909271696269276
XIAOMI,BLUE,3_GB,64_GB,4.4,9499,9499,0,0.0
SAMSUNG,WHITE,1.5_GB,8_GB,3.8,20400,20400,0,0.0
INFINIX,GOLD,3_GB,16_GB,4.0,7499,7499,0,0.0
APPLE,GOLD,2_GB,16_GB,4.4,49999,49999,0,0.0
SAMSUNG,BLUE,4_GB,64_GB,4.3,16990,16990,0,0.0
SAMSUNG,BLACK,6_GB,128_GB,4.3,17578,19499,1921,9.85178727114211
SAMSUNG,SILVER,4_GB,32_GB,3.9,38900,38900,0,0.0
SAMSUNG,WHITE,6_GB,64_GB,4.4,24000,24000,0,0.0
NOKIA,BLACK,3_GB,32_GB,4.0,7899,7899,0,0.0
SAMSUNG,BLACK,6_GB,64_GB,4.3,16299,16299,0,0.0
SAMSUNG,WHITE,LESS_THAN_1GB,4_GB,4.0,6048,6048,0,0.0
XIAOMI,BLACK,4_GB,64_GB,4.2,10070,10129,59,0.5824859314838582
SAMSUNG,BLUE,8_GB,128_GB,4.5,40999,43999,3000,6.818336780381372
INFINIX,BROWN,6_GB,64_GB,4.2,10999,10999,0,0.0
POCO,BLUE,6_GB,128_GB,4.4,18999,23999,5000,20.83420142505938
HTC,BLUE,6_GB,128_GB,4.6,53990,53990,0,0.0
POCO,YELLOW,6_GB,128_GB,4.4,16999,19999,3000,15.000750037501875
XIAOMI,OTHERS,8_GB,128_GB,4.4,27999,27999,0,0.0
GIONEE,BLACK,2_GB,16_GB,4.1,15999,15999,0,0.0
SAMSUNG,GREY,8_GB,128_GB,4.3,69999,83999,14000,16.666865081727163
LG,GREY,3_GB,16_GB,4.5,42021,42021,0,0.0
SAMSUNG,BLACK,8_GB,128_GB,4.3,19990,19990,0,0.0
APPLE,BLUE,4_GB,64_GB,4.6,63999,65900,1901,2.8846737481031868
GIONEE,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,3.9,1890,1890,0,0.0
LENOVO,BLACK,2_GB,16_GB,3.8,5999,5999,0,0.0
LENOVO,GREY,3_GB,32_GB,4.3,16999,16999,0,0.0
LENOVO,YELLOW,2_GB,16_GB,4.0,7999,7999,0,0.0
REALME,BLACK,8_GB,128_GB,4.3,16999,18999,2000,10.526869835254487
VIVO,RED,4_GB,64_GB,4.4,16990,20990,4000,19.05669366364936
SAMSUNG,BLACK,4_GB,128_GB,4.3,14999,24900,9901,39.76305220883534
SAMSUNG,BLACK,3_GB,32_GB,4.3,14990,14990,0,0.0
OPPO,BLUE,8_GB,256_GB,4.4,41990,55990,14000,25.00446508305054
HTC,GOLD,4_GB,32_GB,4.2,56690,56690,0,0.0
APPLE,SILVER,2_GB,64_GB,4.5,49999,49999,0,0.0
SAMSUNG,BLACK,2_GB,16_GB,4.1,14490,14490,0,0.0
APPLE,GOLD,2_GB,32_GB,4.5,25299,29900,4601,15.387959866220736
APPLE,BLACK,2_GB,128_GB,4.5,44900,44900,0,0.0
LENOVO,GOLD,2_GB,16_GB,4.1,6999,6999,0,0.0
INFINIX,BLUE,3_GB,32_GB,4.3,8999,8999,0,0.0
GIONEE,BLUE,1_GB,16_GB,3.8,4190,7238,3048,42.11108040895275
POCO,GREEN,3_GB,32_GB,4.3,7999,9999,2000,20.00200020002
SAMSUNG,WHITE,8_GB,128_GB,4.6,39999,71000,31001,43.66338028169014
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,3.6,3220,3220,0,0.0
SAMSUNG,BLACK,4_GB,32_GB,4.4,24999,24999,0,0.0
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.2,1149,1149,0,0.0
APPLE,OTHERS,3_GB,128_GB,4.6,47999,52900,4901,9.264650283553877
REALME,SILVER,4_GB,64_GB,4.4,10999,10999,0,0.0
NOKIA,BLUE,2_GB,16_GB,3.7,7290,7290,0,0.0
SAMSUNG,BLACK,2_GB,16_GB,4.0,14500,14500,0,0.0
NOKIA,BLUE,3_GB,32_GB,3.8,9999,11099,1100,9.910802775024775
XIAOMI,RED,2_GB,32_GB,4.2,7999,7999,0,0.0
INFINIX,OTHERS,6_GB,128_GB,4.3,13999,13999,0,0.0
INFINIX,BLUE,3_GB,32_GB,4.3,8299,9999,1700,17.001700170017
SAMSUNG,WHITE,6_GB,128_GB,4.2,14490,14999,509,3.3935595706380424
ASUS,GOLD,2_GB,16_GB,3.6,5840,5840,0,0.0
POCO,BLACK,4_GB,64_GB,4.4,13999,17999,4000,22.22345685871437
ASUS,RED,3_GB,32_GB,4.0,11999,11999,0,0.0
VIVO,MULTICOLOR,8_GB,128_GB,4.3,22490,22490,0,0.0
XIAOMI,WHITE,6_GB,128_GB,4.3,24999,29999,5000,16.66722224074136
XIAOMI,GOLD,3_GB,32_GB,4.3,9999,9999,0,0.0
OPPO,BLACK,3_GB,32_GB,4.4,9490,12990,3500,26.943802925327176
NOKIA,BLACK,4_GB,64_GB,4.1,19999,19999,0,0.0
SAMSUNG,GREEN,8_GB,128_GB,4.0,49999,65999,16000,24.24279155744784
SAMSUNG,BLACK,LESS_THAN_1GB,4_GB,3.8,5795,5795,0,0.0
GIONEE,SILVER,3_GB,32_GB,3.8,7999,7999,0,0.0
LG,GREY,8_GB,128_GB,4.2,29999,80000,50001,62.50125
LENOVO,GREY,2_GB,8_GB,3.5,6980,6980,0,0.0
ASUS,BLACK,3_GB,32_GB,4.1,10999,10999,0,0.0
INFINIX,OTHERS,4_GB,64_GB,4.4,11999,11999,0,0.0
REALME,MULTICOLOR,6_GB,128_GB,4.5,19999,24999,5000,20.00080003200128
NOKIA,WHITE,4_GB,64_GB,4.3,18599,18599,0,0.0
SAMSUNG,BLACK,3_GB,32_GB,4.2,15300,15300,0,0.0
MOTOROLA,OTHERS,4_GB,64_GB,4.1,10999,14999,4000,26.668444562970866
APPLE,RED,3_GB,64_GB,4.6,42999,47900,4901,10.231732776617951
XIAOMI,OTHERS,8_GB,256_GB,4.3,42999,42999,0,0.0
REALME,WHITE,8_GB,128_GB,4.5,21999,21999,0,0.0
SAMSUNG,BLACK,4_GB,64_GB,4.2,10499,11499,1000,8.696408383337682
HTC,SILVER,2_GB,16_GB,4.4,59900,59900,0,0.0
VIVO,WHITE,8_GB,256_GB,4.3,14990,14990,0,0.0
GIONEE,GOLD,4_GB,32_GB,4.0,15490,15490,0,0.0
OPPO,BLUE,8_GB,256_GB,4.4,27990,35990,8000,22.228396776882462
SAMSUNG,GOLD,6_GB,64_GB,4.2,29990,29990,0,0.0
SAMSUNG,GOLD,4_GB,32_GB,4.4,22222,52000,29778,57.26538461538462
REALME,SILVER,8_GB,128_GB,4.3,21999,23999,2000,8.33368057002375
XIAOMI,BLUE,2_GB,32_GB,4.5,7619,7619,0,0.0
SAMSUNG,BLUE,6_GB,128_GB,4.3,30900,30900,0,0.0
REALME,BLUE,6_GB,64_GB,4.4,17999,17999,0,0.0
INFINIX,GREY,8_GB,128_GB,4.3,15999,18999,3000,15.790304752881733
SAMSUNG,BLACK,2_GB,16_GB,4.3,8990,8990,0,0.0
GIONEE,GOLD,3_GB,16_GB,4.0,6450,6450,0,0.0
MOTOROLA,BLACK,LESS_THAN_1GB,16_GB,3.8,15990,15990,0,0.0
NOKIA,BLUE,3_GB,16_GB,4.1,16199,16199,0,0.0
HTC,WHITE,2_GB,16_GB,3.7,16990,16990,0,0.0
POCO,BLACK,6_GB,128_GB,4.5,15999,19999,4000,20.001000050002503
SAMSUNG,BLUE,8_GB,512_GB,4.6,59999,59999,0,0.0
ASUS,BLACK,2_GB,16_GB,4.0,4499,4499,0,0.0
SAMSUNG,BLACK,1.5_GB,8_GB,3.8,26000,26000,0,0.0
SAMSUNG,BLACK,6_GB,128_GB,4.3,21450,21450,0,0.0
APPLE,YELLOW,3_GB,128_GB,4.6,47999,52900,4901,9.264650283553877
SAMSUNG,BLACK,2_GB,16_GB,4.3,8170,8170,0,0.0
LG,SILVER,4_GB,64_GB,3.9,19990,19990,0,0.0
OPPO,BLACK,6_GB,128_GB,4.5,17990,29990,12000,40.01333777925976
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.2,1399,1599,200,12.507817385866163
MOTOROLA,BLUE,4_GB,64_GB,4.2,8999,12999,4000,30.771597815216555
LENOVO,SILVER,3_GB,32_GB,4.1,7490,14890,7400,49.69778374748153
OPPO,BLACK,6_GB,128_GB,4.3,17999,17999,0,0.0
XIAOMI,BLUE,4_GB,128_GB,4.4,11199,11990,791,6.5971643035863226
REALME,SILVER,4_GB,64_GB,4.4,11490,12990,1500,11.547344110854503
SAMSUNG,BLUE,1_GB,8_GB,4.0,8999,8999,0,0.0
VIVO,GREY,8_GB,128_GB,4.4,21990,21990,0,0.0
XIAOMI,BLACK,6_GB,128_GB,4.5,28999,28999,0,0.0
ASUS,BLACK,3_GB,32_GB,4.1,7990,7990,0,0.0
INFINIX,BLUE,2_GB,32_GB,4.3,7499,8999,1500,16.6685187243027
SAMSUNG,WHITE,6_GB,128_GB,3.9,15989,16489,500,3.0323245800230456
REALME,BLUE,4_GB,128_GB,4.4,10999,11999,1000,8.334027835652972
APPLE,GOLD,2_GB,32_GB,4.5,24999,31500,6501,20.63809523809524
LENOVO,BLACK,3_GB,32_GB,4.2,9999,9999,0,0.0
VIVO,BLACK,4_GB,64_GB,4.4,15900,15900,0,0.0
SAMSUNG,BLACK,8_GB,128_GB,4.4,28999,31999,3000,9.37529297790556
SAMSUNG,BLACK,4_GB,64_GB,4.3,12999,14999,2000,13.334222281485433
APPLE,GOLD,1_GB,64_GB,4.4,62500,62500,0,0.0
LG,WHITE,LESS_THAN_1GB,4_GB,4.0,13299,13299,0,0.0
OPPO,BLUE,6_GB,64_GB,4.5,21150,21150,0,0.0
APPLE,GREY,4_GB,512_GB,4.6,140300,140300,0,0.0
LENOVO,GOLD,4_GB,32_GB,4.3,17999,17999,0,0.0
SAMSUNG,BLUE,3_GB,32_GB,4.0,11499,13499,2000,14.815912289799243
MOTOROLA,BLACK,4_GB,64_GB,4.3,9499,11999,2500,20.835069589132427
GOOGLE_PIXEL,BLACK,2_GB,16_GB,4.5,12000,29990,17990,59.98666222074025
SAMSUNG,BLACK,6_GB,128_GB,4.1,16999,16999,0,0.0
OPPO,BLUE,4_GB,128_GB,4.3,15990,15990,0,0.0
OPPO,BLACK,8_GB,128_GB,4.3,19990,25990,6000,23.08580223162755
XIAOMI,RED,4_GB,64_GB,4.4,11948,11948,0,0.0
SAMSUNG,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.2,2050,2050,0,0.0
MOTOROLA,BLUE,4_GB,64_GB,4.3,12999,15999,3000,18.751171948246764
ASUS,BLACK,2_GB,8_GB,4.0,4990,4990,0,0.0
INFINIX,BLACK,3_GB,32_GB,4.3,8299,9999,1700,17.001700170017
ASUS,GOLD,3_GB,32_GB,4.1,10999,10999,0,0.0
OPPO,OTHERS,6_GB,128_GB,4.2,16990,20990,4000,19.05669366364936
OPPO,BLUE,8_GB,128_GB,4.4,34990,37990,3000,7.896814951302974
SAMSUNG,GOLD,4_GB,32_GB,4.3,17889,17889,0,0.0
XIAOMI,RED,6_GB,64_GB,4.5,17999,17999,0,0.0
SAMSUNG,BLUE,8_GB,256_GB,4.3,37999,43999,6000,13.636673560762745
LG,BLACK,4_GB,64_GB,4.0,9999,9999,0,0.0
MOTOROLA,GOLD,6_GB,128_GB,3.8,74999,149999,75000,50.00033333555557
SAMSUNG,MULTICOLOR,8_GB,256_GB,4.5,73600,75000,1400,1.866666666666667
SAMSUNG,WHITE,12_GB,OTHERS,4.5,117990,117990,0,0.0
INFINIX,BLACK,6_GB,128_GB,4.2,12499,14999,2500,16.66777785185679
NOKIA,WHITE,LESS_THAN_1GB,8_GB,4.1,17599,17599,0,0.0
REALME,BLUE,4_GB,64_GB,4.3,15499,15999,500,3.125195324707794
APPLE,SILVER,6_GB,128_GB,4.6,109900,109900,0,0.0
XIAOMI,WHITE,3_GB,64_GB,4.4,8561,8561,0,0.0
SAMSUNG,BLUE,6_GB,128_GB,4.4,36000,36000,0,0.0
INFINIX,GREEN,2_GB,32_GB,4.3,7499,8999,1500,16.6685187243027
XIAOMI,BLUE,8_GB,128_GB,4.3,24890,24988,98,0.3921882503601728
POCO,BLUE,6_GB,64_GB,4.5,21999,21999,0,0.0
GIONEE,WHITE,LESS_THAN_1GB,4_GB,3.6,2650,2650,0,0.0
REALME,GREEN,4_GB,64_GB,4.5,11999,13999,2000,14.286734766769056
APPLE,GREY,1_GB,128_GB,4.4,71500,71500,0,0.0
XIAOMI,GOLD,3_GB,32_GB,4.4,9399,9399,0,0.0
INFINIX,BLUE,4_GB,64_GB,4.2,9999,9999,0,0.0
LENOVO,BLACK,2_GB,16_GB,4.0,9900,9900,0,0.0
LENOVO,WHITE,1_GB,8_GB,3.8,6799,6799,0,0.0
SAMSUNG,BLACK,LESS_THAN_1GB,EXPANDABLE,4.1,3013,3013,0,0.0
APPLE,GREY,4_GB,512_GB,4.6,144900,144900,0,0.0
OPPO,WHITE,1_GB,16_GB,3.8,4999,7490,2491,33.25767690253672
REALME,BLACK,6_GB,128_GB,4.3,16999,17999,1000,5.555864214678594
APPLE,SILVER,4_GB,256_GB,4.7,131900,131900,0,0.0
LENOVO,SILVER,3_GB,32_GB,4.1,10999,10999,0,0.0
REALME,GREEN,6_GB,64_GB,4.5,14999,15999,1000,6.250390649415588
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.1,1680,1680,0,0.0
INFINIX,BLACK,4_GB,64_GB,4.5,9999,9999,0,0.0
HTC,SILVER,6_GB,128_GB,4.6,53990,53990,0,0.0
SAMSUNG,BLACK,2_GB,16_GB,3.9,21999,21999,0,0.0
INFINIX,SILVER,4_GB,128_GB,4.3,11999,14999,3000,20.00133342222815
SAMSUNG,GREY,8_GB,128_GB,4.3,52905,52905,0,0.0
GOOGLE_PIXEL,PINK,4_GB,128_GB,4.6,92000,92000,0,0.0
REALME,BLACK,3_GB,32_GB,4.4,8999,9999,1000,10.00100010001
REALME,BLUE,3_GB,32_GB,4.4,8999,9999,1000,10.00100010001
SAMSUNG,BLUE,1_GB,16_GB,3.9,4999,4999,0,0.0
SAMSUNG,BLUE,4_GB,64_GB,4.3,13695,14900,1205,8.087248322147651
NOKIA,OTHERS,2_GB,32_GB,4.0,9999,9999,0,0.0
LG,BLUE,4_GB,64_GB,3.9,19990,19990,0,0.0
INFINIX,GREEN,4_GB,64_GB,4.3,10999,13999,3000,21.430102150153584
SAMSUNG,MULTICOLOR,8_GB,128_GB,4.3,39999,45000,5001,11.113333333333332
POCO,BLACK,6_GB,128_GB,4.4,18999,23999,5000,20.83420142505938
SAMSUNG,WHITE,LESS_THAN_1GB,4_GB,3.6,4999,4999,0,0.0
INFINIX,BLUE,4_GB,64_GB,4.4,11999,11999,0,0.0
GIONEE,BLACK,4_GB,32_GB,4.0,8690,8690,0,0.0
APPLE,GREY,4_GB,64_GB,4.7,62999,89900,26901,29.92324805339266
OPPO,BLUE,3_GB,64_GB,4.3,10990,16990,6000,35.31489111241907
XIAOMI,BLUE,3_GB,32_GB,4.4,11946,11946,0,0.0
SAMSUNG,BLUE,6_GB,64_GB,4.3,16000,16000,0,0.0
SAMSUNG,BLACK,6_GB,64_GB,4.2,16860,34000,17140,50.41176470588236
VIVO,BLACK,4_GB,64_GB,4.4,20000,20000,0,0.0
APPLE,GREY,4_GB,512_GB,4.7,150800,150800,0,0.0
XIAOMI,GOLD,6_GB,64_GB,4.2,16999,16999,0,0.0
SAMSUNG,GOLD,2_GB,16_GB,4.1,14490,14490,0,0.0
INFINIX,GOLD,3_GB,32_GB,4.2,8999,8999,0,0.0
MOTOROLA,BLACK,4_GB,64_GB,4.2,20000,20000,0,0.0
OPPO,BLACK,8_GB,256_GB,4.4,38990,39990,1000,2.500625156289072
LG,GREY,3_GB,32_GB,4.0,25999,25999,0,0.0
LENOVO,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,3.7,5499,5499,0,0.0
LENOVO,RED,2_GB,16_GB,4.1,7499,7499,0,0.0
MOTOROLA,BROWN,4_GB,128_GB,4.2,14999,22999,8000,34.78412104874125
LENOVO,GREY,3_GB,16_GB,4.0,7999,7999,0,0.0
APPLE,GOLD,2_GB,64_GB,4.4,59999,59999,0,0.0
LG,RED,3_GB,32_GB,4.0,35990,35990,0,0.0
NOKIA,BLUE,4_GB,64_GB,3.5,11989,11989,0,0.0
NOKIA,GREEN,1_GB,4_GB,4.2,9999,9999,0,0.0
SAMSUNG,GOLD,1_GB,8_GB,4.0,9833,9833,0,0.0
VIVO,BLUE,3_GB,64_GB,4.4,11990,11990,0,0.0
VIVO,BLUE,4_GB,64_GB,4.5,15990,15990,0,0.0
REALME,BLUE,4_GB,64_GB,4.4,14999,15999,1000,6.250390649415588
SAMSUNG,BLUE,3_GB,32_GB,4.3,11599,12900,1301,10.085271317829458
OPPO,GOLD,3_GB,32_GB,4.3,17990,17990,0,0.0
APPLE,BLACK,2_GB,256_GB,4.5,54900,54900,0,0.0
VIVO,GOLD,12_GB,256_GB,4.4,34990,37990,3000,7.896814951302974
REALME,BLUE,4_GB,128_GB,4.3,12499,13999,1500,10.715051075076792
OPPO,GREEN,4_GB,128_GB,4.4,13990,21990,8000,36.38017280582083
LG,SILVER,3_GB,32_GB,3.9,8199,10999,2800,25.456859714519503
INFINIX,BLUE,8_GB,128_GB,4.3,15999,18999,3000,15.790304752881733
GOOGLE_PIXEL,BLACK,4_GB,128_GB,4.6,70000,70000,0,0.0
SAMSUNG,SILVER,4_GB,64_GB,3.9,49990,49990,0,0.0
SAMSUNG,BLUE,6_GB,64_GB,4.3,18699,18699,0,0.0
HTC,GREY,1_GB,4_GB,3.8,17200,17200,0,0.0
VIVO,BLACK,8_GB,128_GB,4.9,22990,22990,0,0.0
REALME,BLUE,12_GB,256_GB,4.6,35999,35999,0,0.0
ASUS,BLACK,2_GB,16_GB,3.8,8499,8499,0,0.0
XIAOMI,BLUE,8_GB,OTHERS,4.3,25999,25999,0,0.0
XIAOMI,BLACK,3_GB,32_GB,4.4,8299,8499,200,2.3532180256500763
INFINIX,BLUE,2_GB,32_GB,4.2,7999,7999,0,0.0
INFINIX,GREY,4_GB,64_GB,4.3,10999,10999,0,0.0
XIAOMI,BLACK,8_GB,128_GB,4.2,26828,26828,0,0.0
INFINIX,GREEN,4_GB,64_GB,4.4,9999,11999,2000,16.668055671305943
OPPO,BLACK,3_GB,32_GB,4.4,9490,10990,1500,13.64877161055505
INFINIX,GREY,3_GB,32_GB,4.2,9999,9999,0,0.0
APPLE,RED,2_GB,256_GB,4.7,81500,81500,0,0.0
NOKIA,BLACK,3_GB,32_GB,3.9,13999,13999,0,0.0
ASUS,BLACK,12_GB,256_GB,4.4,57999,65999,8000,12.12139577872392
NOKIA,BLACK,LESS_THAN_1GB,LESS_THAN_1GB,4.0,4196,4196,0,0.0
SAMSUNG,WHITE,8_GB,128_GB,4.3,30500,33100,2600,7.854984894259818
HTC,WHITE,LESS_THAN_1GB,4_GB,3.6,9990,9990,0,0.0
GIONEE,GOLD,1_GB,16_GB,3.8,4999,4999,0,0.0
OPPO,BLACK,4_GB,128_GB,4.4,13990,21990,8000,36.38017280582083
LG,BLACK,4_GB,128_GB,4.1,10999,10999,0,0.0
OPPO,GOLD,4_GB,64_GB,4.0,24900,24900,0,0.0
REALME,BLACK,3_GB,32_GB,4.5,8499,10999,2500,22.729339030820984
SAMSUNG,WHITE,1_GB,8_GB,4.0,7992,7992,0,0.0
OPPO,WHITE,3_GB,64_GB,4.4,12990,14990,2000,13.342228152101402
HTC,BLACK,1_GB,8_GB,3.7,9590,9590,0,0.0
HTC,WHITE,2_GB,16_GB,3.7,27990,27990,0,0.0
SAMSUNG,GREEN,4_GB,128_GB,4.2,12499,13999,1500,10.715051075076792
GIONEE,BLACK,3_GB,32_GB,4.2,7900,7900,0,0.0
APPLE,GREEN,4_GB,256_GB,4.6,78999,80900,1901,2.349814585908529
INFINIX,BLACK,3_GB,16_GB,4.0,7499,7499,0,0.0
HTC,GOLD,2_GB,16_GB,4.4,59900,59900,0,0.0
SAMSUNG,BLACK,3_GB,32_GB,4.4,9100,10000,900,9.0
LENOVO,BLACK,1_GB,8_GB,4.1,19999,19999,0,0.0
OPPO,OTHERS,2_GB,16_GB,4.2,11000,11000,0,0.0
MOTOROLA,BLACK,6_GB,128_GB,3.8,74999,149999,75000,50.00033333555557
VIVO,BLACK,3_GB,64_GB,4.4,39990,46990,7000,14.896786550329857
SAMSUNG,BLUE,6_GB,128_GB,3.9,15271,15271,0,0.0
SAMSUNG,WHITE,8_GB,128_GB,4.3,34999,41999,7000,16.66706350151194
NOKIA,BLUE,2_GB,32_GB,4.0,9999,9999,0,0.0
INFINIX,GREY,3_GB,32_GB,4.2,10999,10999,0,0.0
APPLE,GREEN,4_GB,128_GB,4.5,61999,64900,2901,4.469953775038521
OPPO,BLACK,6_GB,128_GB,4.5,38990,41990,3000,7.14455822814956
GIONEE,BLACK,1_GB,8_GB,3.5,3499,3499,0,0.0
MOTOROLA,BLACK,6_GB,64_GB,4.1,14999,44999,30000,66.66814818107069
SAMSUNG,GOLD,3_GB,32_GB,4.2,16879,16879,0,0.0
SAMSUNG,PINK,2_GB,16_GB,4.3,6799,6799,0,0.0
SAMSUNG,GOLD,4_GB,64_GB,4.4,19500,19500,0,0.0
REALME,BLACK,3_GB,64_GB,4.5,9499,11999,2500,20.835069589132427
POCO,BLUE,6_GB,64_GB,4.4,14999,19999,5000,25.00125006250313
REALME,BLACK,4_GB,64_GB,4.4,10499,12999,2500,19.232248634510345
SAMSUNG,BLACK,4_GB,64_GB,4.4,19500,19500,0,0.0
SAMSUNG,BLUE,6_GB,128_GB,4.5,68900,68900,0,0.0
NOKIA,BLACK,2_GB,16_GB,4.0,8599,8599,0,0.0
SAMSUNG,BLUE,8_GB,512_GB,4.5,45999,51000,5001,9.805882352941175
ASUS,BLACK,8_GB,256_GB,4.5,43999,43999,0,0.0
LENOVO,GREY,1_GB,4_GB,4.3,12899,12899,0,0.0
NOKIA,BLUE,6_GB,64_GB,3.7,9900,15990,6090,38.08630393996248
NOKIA,GREY,6_GB,128_GB,4.3,46988,46988,0,0.0
SAMSUNG,GOLD,2_GB,16_GB,3.9,21999,21999,0,0.0
APPLE,GOLD,4_GB,64_GB,4.7,117100,117100,0,0.0
SAMSUNG,BLACK,4_GB,64_GB,4.1,11499,11499,0,0.0
MOTOROLA,GREY,4_GB,32_GB,4.1,7350,7350,0,0.0
OPPO,BLACK,4_GB,64_GB,4.4,22990,22990,0,0.0
OPPO,BLUE,6_GB,128_GB,4.3,15990,16990,1000,5.885815185403178
POCO,BLUE,3_GB,32_GB,4.4,7999,10999,3000,27.275206836985184
ASUS,BLACK,1_GB,8_GB,3.8,6299,6299,0,0.0
NOKIA,OTHERS,4_GB,64_GB,3.9,12999,16799,3800,22.62039407107566
NOKIA,GREY,3_GB,32_GB,4.1,12399,12399,0,0.0
NOKIA,BLUE,2_GB,16_GB,3.9,10899,10899,0,0.0
SAMSUNG,BLACK,12_GB,256_GB,4.5,105999,128999,23000,17.829595578260296
REALME,BLUE,6_GB,128_GB,4.4,18999,18999,0,0.0
REALME,BLUE,4_GB,64_GB,4.5,13999,15999,2000,12.500781298831177
SAMSUNG,BLUE,8_GB,128_GB,4.2,20350,22595,2245,9.935826510289887
SAMSUNG,BLUE,2_GB,32_GB,4.0,8299,8499,200,2.3532180256500763
INFINIX,BLUE,6_GB,64_GB,4.3,13999,16999,3000,17.648096946879228
